CUSTOMER_CODE|CUSTOMER_CODE_DESC|BILL_NUMBER|BILL_DATE|PMH_CATEGORY|PMH_CATEGORY_DESC|MONTH|USL_OUTLET_CODE|USL_OUTLET_CODE_DESC|CCF_REASON|CCF_DESC|SALESMAN_CODE|SALESMAN_CODE_DESC|SECONDARY_CHANNEL_CODE|SECONDARY_CHANNEL_CODE_DESC|CBU_CODE|CBU_CODE_DESC|BOM_HEADER_CBU_CODE|BOM_HEADER_CBU_CODE_DESC|SKU7_CODE|SKU7_CODE_DESC|BOM_HEADER_SKU7_CODE|BOM_HEADER_SKU7_CODE_DESC|SALES_DELIVERY_DATE|TOTAL_SALES_VALUE_LKR|TOTAL_SALES_VALUE_GSV|TOTAL_SALES_QTY_CASES|TOTAL_SALES_QTY_KGS|CHANNEL_CODE|CHANNEL_CODE_DESC|BASEPACK_CODE
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1118|Deodorants & Fragrances|20221|||||||||94005386|REX WMN DEO PASSION 50ML|||||||2022-01-31|0|280099.065|34|44|||40821
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CF1812|Functional Nutrition|20221|||||||||94009068|Viva Original Bottle 400g|||||||2022-01-31|0|0.0|0|0|||42925
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CF1812|Functional Nutrition|20221|||||||||94009058|Viva Original 400g Carton|||||||2022-01-31|0|3118631.5|408|3921|||42928
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1118|Deodorants & Fragrances|20221|||||||||94006868|REXONA DEO MEN ICE-COOL 50ML|||||||2022-01-31|0|681284.4339|82|107|||40875
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2341|Fabric Cleaning|20221|||||||||94005345|RIN HOUDINI DET.PWD.200G|||||||2022-01-31|0|0.0|0|0|||40902
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CF1812|Functional Nutrition|20221|||||||||94009053|Horlicks Original 400g bottle|||||||2022-01-31|0|2182.521944|0|2|||42934
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94010512|LIFEBUOY AD STRONG & LONG SHAMPOO 80ml|||||||2022-01-31|0|556915.7471|112|443|||40534
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1118|Deodorants & Fragrances|20221|||||||||94005377|REXONA WOMN DEO PASSN 25ML|||||||2022-01-31|0|504988.9645|111|72|||40877
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94012326|Lifebuoy Total 10 Handwash*200ml|||||||2022-01-31|0|2032089.87|457|2238|||40510
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94007806|LB HW NATURE 200ML|||||||2022-01-31|0|0.0|0|0|||40504
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2027|Skin Care|20221|||||||||94010021|Pears Pure & Gentle Cream 200ML|||||||2022-01-31|0|229192.3692|46|222|||40683
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94012328|Lifebuoy Care Handwash*200ml|||||||2022-01-31|0|251548.1682|49|239|||40501
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2341|Fabric Cleaning|20221|||||||||94012123|SLDP Lemon & Orange RLx400g|||||||2022-01-31|0|769535.6108|210|4195|||40997
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94010771|Sunsilk Damage Restore Shampoo 180ml|||||||2022-01-31|0|600141.3687|114|508|||41083
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1119|Home & Hygiene|20221|||||||||94007875|VIM D/W LQD(PET) 500ML|||||||2022-01-31|0|6593987.208|1348|16743|||41217
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1118|Deodorants & Fragrances|20221|||||||||94010049|Pears Magic Drop Galss Cologne 100ML|||||||2022-01-31|0|250470.52|48|106|||42023
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1118|Deodorants & Fragrances|20221|||||||||94010053|Pears Magic Drop Glass Cologne 50ML|||||||2022-01-31|0|288319.0297|46|99|||42020
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CF1070|Scratch Cooking Aids|20221|||||||||94006052|KNORR SWT & SOUR 50G|||||||2022-01-31|0|0.0|0|0|||40311
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94005652|SS DR SF&SMT CD 180M|||||||2022-01-31|0|851068.5058|164|693|||41047
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94010764|Sunsilk S&S Shampoo 180ml|||||||2022-01-31|0|1913881.489|364|1620|||41095
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CF1070|Scratch Cooking Aids|20221|||||||||94006053|KNORR RECIPE MIX CHILL CHK 40G|||||||2022-01-31|0|0.0|0|0|||40379
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94006079|SS HF SOL 80ML|||||||2022-01-31|0|0.0|0|0|||41084
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94012359|Lifebuoy Mild Care 100g|||||||2022-01-31|0|263199.0291|29|427|||40554
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94000412|DOVE SOAP W BTY BARCREAM100G|||||||2022-01-31|0|0.0|0|0|||40245
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH1116|Hair Care|20221|||||||||94005641|SUNSILK DREAM SOFT & SMOOTH SHAMPOO 80ML|||||||2022-01-31|0|445050.45|74|293|||41110
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94006475|LB HW POUCH NATURE 180ML|||||||2022-01-31|0|0.0|0|0|||40502
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2026|Skin Cleansing|20221|||||||||94006474|LB HW POUCH TOTAL 180ML|||||||2022-01-31|0|2121259.429|682|2965|||40507
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2022-01-31|L3-CH2027|Skin Care|20221|||||||||94009962|PONDS BHT/BTY/DAY CRM 50G|||||||2022-01-31|0|0.0|0|0|||41511
